utterance_token_list;Paragraph;predicted_labels;confidences;Speaker;Gender;Party;Interjector;Interjector Party;Interjector Gender;Filename
['„', 'Genosse', '“', '?'];„Genosse“? Überhaupt kein Genosse!;[];[];Katja Leikert;weiblich;CDU/CSU;Helin Evrim Sommer;DIE LINKE;weiblich;BT_19_237.xml
['War', 'das', 'so', '?'];War das so?;[];[];Annalena Baerbock;weiblich;GRUENE;Carsten Schneider;SPD;männlich;BT_19_238.xml
['Warum', 'haben', 'Sie', 'sich', 'dann', 'persönlich', 'enthalten', ',', 'Frau', 'Baerbock', '?'];Warum haben Sie sich dann persönlich enthalten, Frau Baerbock?;[];[];Annalena Baerbock;weiblich;GRUENE;Carsten Schneider;SPD;männlich;BT_19_238.xml
['Warum', 'haben', 'Sie', 'dann', 'gegen', 'das', 'Löschmoratorium', 'gestimmt', '?'];Warum haben Sie dann gegen das Löschmoratorium gestimmt?;[];[];Jürgen Hardt;männlich;CDU/CSU;Britta Haßelmann;GRUENE;weiblich;BT_19_238.xml
['Herr', 'Scholz', 'ist', 'schon', 'wieder', 'am', 'Handy', '!'];Er hört nicht zu! Herr Scholz ist schon wieder am Handy!;[];[];Christian Dürr;männlich;FDP;Otto Fricke;FDP;männlich;BT_19_238.xml
['Wahlkampfrede', '!'];Wahlkampfrede!;[];[];Mechthild Heil;weiblich;CDU/CSU;Steffi Lemke;GRUENE;weiblich;BT_19_238.xml
['Herr'];Herr Ramelow hat alles gut gemacht!;[];[];Jan Korte;männlich;DIE LINKE;Stephan Brandner;AfD;männlich;BT_19_238.xml
['6', 'Prozent', '!'];6 Prozent!;[];[];Jan Korte;männlich;DIE LINKE;Gunther Krichbaum;CDU/CSU;männlich;BT_19_238.xml
"['Ganz', 'weit', 'weg', ';']";"Ganz weit weg; das kann ich Ihnen sagen!";[];[];Stephan Brandner;männlich;AfD;Gabriele Katzmarek;SPD;weiblich;BT_19_238.xml
['Und', 'tschüss', '!'];Und tschüss!;[];[];Stephan Brandner;männlich;AfD;Unknown;SPD;;BT_19_238.xml
['Schöne', 'Grüße', 'an', 'Andi', 'Scheuer', '!'];Genau! Schöne Grüße an Andi Scheuer!;[];[];Michael Grosse-Brömer;männlich;CDU/CSU;Dr. Marco Buschmann;FDP;männlich;BT_19_239.xml
['Auf', 'welcher', 'Strecke', '?'];Auf welcher Strecke?;[];[];Nils Schmid;männlich;SPD;Britta Haßelmann;GRUENE;weiblich;BT_19_239.xml
['Wenn', 'die', 'Menschen', 'tot', 'sind', '?'];Wenn die Menschen tot sind?;[];[];Nils Schmid;männlich;SPD;Annalena Baerbock;GRUENE;weiblich;BT_19_239.xml
['Mit', 'langem', '„', 'U', '“'];Mit langem „U“!;[];[];Christian Lindner;männlich;FDP;Jan Korte;DIE LINKE;männlich;BT_19_239.xml
['Vergleichen'];Vergleichen Sie Deutschland mal mit anderen Ländern!;[];[];Dietmar Bartsch;männlich;DIE LINKE;Michael Grosse-Brömer;CDU/CSU;männlich;BT_19_239.xml
['Herr'];Herr Korte bettelt um eine Koalition!;[];[];Jan Korte;männlich;DIE LINKE;Ralph Brinkhaus;CDU/CSU;männlich;BT_19_239.xml
['Bis', '2060'];Bis 2060!;[];[];Alexander Dobrindt;männlich;CDU/CSU;Peter Boehringer;AfD;männlich;BT_19_239.xml
['Warum', 'ist', 'er', 'dann', 'nicht', 'im', 'Kompetenzteam', '?'];Warum ist er dann nicht im Kompetenzteam?;[];[];Paul Ziemiak;männlich;CDU/CSU;Carsten Schneider;SPD;männlich;BT_19_239.xml
['3'];3 G ist Lockdown!;[];[];Stephan Stracke;männlich;CDU/CSU;Beatrix von Storch;AfD;weiblich;BT_19_239.xml
['Danke', ',', 'SPD', '!'];Danke, SPD!;[];[];Andreas Jung;männlich;CDU/CSU;René Röspel;SPD;männlich;BT_19_239.xml
